TABNAME,COLNAME,TYPENAME,LENGTH,SCALE,DEFAULT,NULLS
ADVISE_INDEX,CLUSTERFACTOR,DOUBLE,8,0,0,N
ADVISE_INDEX,CLUSTERRATIO,SMALLINT,2,0,0,N
ADVISE_INDEX,COLCOUNT,SMALLINT,2,0,0,N
ADVISE_INDEX,COLNAMES,CLOB,2097152,0,,N
ADVISE_INDEX,CONVERTED,CHARACTER,1,0,',N
ADVISE_INDEX,CREATE_TIME,TIMESTAMP,10,6,CURRENT TIMESTAMP,N
ADVISE_INDEX,CREATION_TEXT,CLOB,2097152,0,',N
ADVISE_INDEX,CREATOR,VARCHAR,128,0,',N
ADVISE_INDEX,DEFINER,VARCHAR,128,0,',N
ADVISE_INDEX,DENSITY,INTEGER,4,0,0,N
ADVISE_INDEX,EXISTS,CHARACTER,1,0,N',N
ADVISE_INDEX,EXPLAIN_LEVEL,CHARACTER,1,0,',N
ADVISE_INDEX,EXPLAIN_REQUESTER,VARCHAR,128,0,',N
ADVISE_INDEX,EXPLAIN_TIME,TIMESTAMP,10,6,CURRENT TIMESTAMP,N
ADVISE_INDEX,FIRST2KEYCARD,BIGINT,8,0,0,N
ADVISE_INDEX,FIRST3KEYCARD,BIGINT,8,0,0,N
ADVISE_INDEX,FIRST4KEYCARD,BIGINT,8,0,0,N
ADVISE_INDEX,FIRSTKEYCARD,BIGINT,8,0,0,N
ADVISE_INDEX,FULLKEYCARD,BIGINT,8,0,0,N
ADVISE_INDEX,IID,SMALLINT,2,0,0,N
ADVISE_INDEX,INDEXTYPE,VARCHAR,4,0,',N
ADVISE_INDEX,MINPCTUSED,SMALLINT,2,0,0,N
ADVISE_INDEX,NAME,VARCHAR,128,0,,N
ADVISE_INDEX,NLEAF,INTEGER,4,0,0,N
ADVISE_INDEX,NLEVELS,SMALLINT,2,0,0,N
ADVISE_INDEX,PACKED_DESC,BLOB,1048576,0,,Y
ADVISE_INDEX,PAGE_FETCH_PAIRS,VARCHAR,254,0,',N
ADVISE_INDEX,PCTFREE,SMALLINT,2,0,-1,N
ADVISE_INDEX,QUERYNO,INTEGER,4,0,0,N
ADVISE_INDEX,QUERYTAG,CHARACTER,20,0,',N
ADVISE_INDEX,REMARKS,VARCHAR,254,0,',Y
ADVISE_INDEX,REVERSE_SCANS,CHARACTER,1,0,N',N
ADVISE_INDEX,RIDTOBLOCK,CHARACTER,1,0,N',N
