Model	Description	Init Qty	Min Qty	Shot Size	Min Shot Size B Line	Min Shot Size C Line	B-Line Cycle Time	C-Line Cycle Time	Scrap Rate	Press Priority	Press       (1=B, 2=C) 
1	Acc_4Dr_FrtDrPanel	600	553	1800	1020	506	4	5.7	0.03	10	2
1	Acc_4Dr_RrDrPanel	900	553	1800	1020	506	4	5.7	0.03	10	2
1	Acc_4Dr_FrtDrSkin	1200	553	1800	1226	576	3.33	5	0.018	10	2
1	Acc_4Dr_RrDrSkin	1500	553	1800	1226	576	3.33	5	0.03	10	2
1	Acc_4Dr_Roof	1800	553	1800	1226	576	3.33	5	0.008	10	2
1	Acc_4Dr_FrtFend	900	553	1800	1020	529	4	5.45	0.023	10	1
1	Acc_4Dr_HoodSkin	1200	553	1800	1088	576	3.75	5	0.03	10	1
1	Acc_4Dr_RPI	1800	553	1800	1020	534	4	5.4	0.03	10	1
1	Acc_4Dr_Trunk	2100	553	1800	816	576	5	5	0.03	10	1
1	Acc_4Dr_FrtFloor	2400	553	1800	1020	576	4	5	0.03	10	1
1	Acc_4Dr_RrFloor	2100	553	1800	1020	576	4	5	0.007	10	2
3	Acc_2Dr_DoorPanel	400	111	900	1020	506	4	5.7	0.03	40	1
3	Acc_2Dr_Fender	300	111	900	1020	480	4	6	0.026	40	1
3	Acc_2Dr_HoodSkin	800	111	900	1088	576	3.75	5	0.03	40	1
3	Acc_2Dr_FrtFloor	1000	111	900	1020	576	4	5	0.03	40	1
3	Acc_2Dr_RrFloor	600	111	900	1020	576	4	5	0.03	40	1
5	TL_FrtDrPanel	450	166	900	1020	506	4	5.7	0.03	20	1
5	TL_RrDrPanel	600	166	900	1020	506	4	5.7	0.03	20	1
5	TL_RrFloor	750	166	900	1020	576	4	5	0.028	20	2
5	TL_HoodSkin	300	166	900	816	576	5	5	0.03	20	1
5	TL_HoodFrame	400	166	900	816	576	5	5	0.03	20	1
5	TL_Fender	500	166	900	756	505	5.4	5.71	0.028	20	1
5	TL_RPI	600	166	900	1020	534	4	5.4	0.03	20	1
5	TL_FrtDrSkin	700	166	900	756	576	5.4	5	0.013	20	1
5	TL_RrDrSkin	800	166	900	756	576	5.4	5	0	20	1
5	TL_Roof	900	166	900	756	576	5.4	5	0.03	20	1
7	NM_FrtDrSkin	360	120	900	1226	576	3.33	5	0.03	30	1
7	NM_RrDrSkin	480	120	900	1226	576	3.33	5	0.03	30	1
7	NM_Fender	720	120	900	1020	505	4	5.71	0.02	30	2
7	NM_Hood	840	120	900	1020	529	4	5.45	0.03	30	2
7	NM_RPI	960	120	900	1020	529	4	5.45	0.03	30	2
9	RDX_Floor	140	71	900	907	576	4.5	5	0	50	2
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0
