Model	Description	Initial Qty	Min Qty	Shot Size	Min Shot Size B	Min Shot Size C	B Line Cycle Time		C Line Cycle Time	0	Scrap Rate	Zone Preference/Priority	0	0	Parts/ Carrier	Type	Color	Press Priority	Press (1=B    2=C 3=Both)	Num of Variations
1	Acc_4Dr_LH	600	553	1800	1020	529	4	8.57	5.45	8.57	0.021	2	1	3	12	L_BS4DR	blue	10	1	0
2	Acc_4Dr_RH	1500	553	1800	1020	529	4	8.57	5.45	8.57	0.02	2	1	3	12	L_BS4DR	ltblue	10	1	0
3	Acc_2Dr_LH	330	111	759	1020	529	4	8.57	5.45	8.57	0.018	1	3	2	11	L_BS2DR	green	30	2	0
4	Acc_2Dr_RH	660	111	759	1020	529	4	8.57	5.45	8.57	0.059	1	3	2	11	L_BS2DR	yellow	30	2	0
5	TL_LH	455	166	754	1020	529	4	8.57	5.45	8.57	0.064	1	3	2	13	L_BS4DR	magenta	20	2	0
6	TL_RH	910	166	754	1020	529	4	8.57	5.45	8.57	0.022	1	3	2	13	L_BS4DR	cyan	20	2	0
7	NM_LH	247	120	754	1020	529	4	8.57	5.45	8.57	0.051	3	1	2	13	L_BS4DR	dkgray	40	2	0
8	NM_RH	611	120	754	1020	529	4	8.57	5.45	8.57	0.03	3	1	2	13	L_BS4DR	ltgray	40	2	0
9		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
