Model1	Model2	Description	Side	Variation Name	Initial Qty	Min Qty	Shot Size	B Line Cycle Time	0	C Line Cycle Time	0	Scrap Rate	Zone Preference/Priority	0	0	Parts/  Carrier	Type	Color
21	5	TL_LH_Test	LH	Test	90	30	200	4	6	5.45	6.67	0.064	1	2	3	13	L_BS4DR	Orange
22	2	Acc_4Dr_RH_Test	RH	Test	150	30	125	4	6	5.45	6.67	0.02	2	1	3	12	L_BS4DR	Purple
23	5	TL_LH_Test2	LH	Test2	90	30	200	4	6	5.45	6.67	0.064	1	2	3	13	L_BS4DR	Brown
24			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
