Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	462	
1	2	1	475	488	
1	2	2	444	475	
1	3	1	506	474	
1	3	2	475	476	
1	4	1	475	475	
1	4	2	475	436	
1	5	1	475	483	
1	5	2	475	488	
2	1	1	475	484	
2	1	2	475	454	
2	2	1	475	457	
2	2	2	475	485	
2	3	1	475	511	
2	3	2	475	470	
2	4	1	429	482	
2	4	2	441	475	
2	5	1	457	475	
2	5	2	427	428	
3	1	1	488	490	
3	1	2	494	507	
3	2	1	477	475	
3	2	2	467	475	
3	3	1	496	475	
3	3	2	501	475	
3	4	1	521	468	
3	4	2	502	482	
3	5	1	475	474	
3	5	2	475	476	
4	1	1	475	469	
4	1	2	475	481	
4	2	1	475	421	
4	2	2	475	496	
4	3	1	475	461	
4	3	2	475	490	
4	4	1	471	500	
4	4	2	426	482	
4	5	1	481	475	
4	5	2	510	475	
5	1	1	461	475	
5	1	2	501	464	
5	2	1	460	486	
5	2	2	490	475	
5	3	1	475	475	
5	3	2	475	475	
5	4	1	438	475	
5	4	2	497	475	
5	5	1	399	460	
5	5	2	473	438	
6	1	1	527	489	
6	1	2	496	491	
6	2	1	452	492	
6	2	2	478	472	
6	3	1	466	483	
6	3	2	441	475	
6	4	1	495	475	
6	4	2	476	475	
6	5	1	459	446	
6	5	2	501	504	
7	1	1	527	475	
7	1	2	475	475	
7	2	1	464	471	
7	2	2	434	479	
7	3	1	500	475	
7	3	2	477	442	
7	4	1	493	508	
7	4	2	482	475	
7	5	1	475	475	
7	5	2	425	475	
8	1	1	468	475	
8	1	2	495	475	
8	2	1	393	475	
8	2	2	510	445	
8	3	1	514	486	
8	3	2	501	494	
8	4	1	494	475	
8	4	2	450	475	
8	5	1	397	401	
8	5	2	0	0	
