Time	Type	LotNo	Zone	Row
03/11/2011 00:04:09	Acc_4Dr_LH	0	CLow	2
03/11/2011 00:04:09	Acc_4Dr_LH	0	CLow	2
03/11/2011 00:04:09	Acc_4Dr_LH	0	CLow	2
03/11/2011 00:04:09	Acc_4Dr_LH	0	CLow	2
03/11/2011 00:04:09	Acc_4Dr_LH	0	CLow	2
03/11/2011 00:04:09	Acc_4Dr_LH	0	CLow	2
03/11/2011 00:20:24	Acc_4Dr_RH	0	CHigh	1
03/11/2011 00:20:24	Acc_4Dr_RH	0	CHigh	1
03/11/2011 00:20:24	Acc_4Dr_RH	0	CHigh	1
03/11/2011 00:20:24	Acc_4Dr_RH	0	CHigh	1
03/11/2011 00:20:24	Acc_4Dr_RH	0	CHigh	1
03/11/2011 00:29:13	Acc_4Dr_RH	0	CLow	6
03/11/2011 00:39:31	Acc_4Dr_LH	0	CLow	2
03/11/2011 00:39:31	Acc_4Dr_LH	0	CLow	2
03/11/2011 00:39:31	Acc_4Dr_LH	0	CLow	2
03/11/2011 00:39:31	Acc_4Dr_LH	0	CLow	2
03/11/2011 00:39:31	Acc_4Dr_LH	0	CLow	2
03/11/2011 00:39:31	Acc_4Dr_LH	0	CLow	2
03/11/2011 00:55:48	Acc_4Dr_RH	0	CLow	6
03/11/2011 00:55:48	Acc_4Dr_RH	0	CLow	6
03/11/2011 00:55:48	Acc_4Dr_RH	0	CLow	6
03/11/2011 00:55:48	Acc_4Dr_RH	0	CLow	6
03/11/2011 00:55:48	Acc_4Dr_RH	0	CLow	6
03/11/2011 00:55:48	Acc_4Dr_RH	0	CLow	6
03/11/2011 01:11:35	Acc_4Dr_LH	0	CLow	2
03/11/2011 01:11:35	Acc_4Dr_LH	0	CLow	2
03/11/2011 01:11:35	Acc_4Dr_LH	0	CLow	2
03/11/2011 01:11:35	Acc_4Dr_LH	0	CLow	2
03/11/2011 01:23:11	Acc_4Dr_RH	0	CLow	6
03/11/2011 01:23:11	Acc_4Dr_RH	0	CLow	6
03/11/2011 01:23:11	Acc_4Dr_RH	0	CLow	6
03/11/2011 01:23:11	Acc_4Dr_RH	0	CLow	6
03/11/2011 02:43:29	TL_RH	0	CHigh	18
03/11/2011 02:43:29	TL_RH	0	CHigh	18
03/11/2011 02:43:29	TL_RH	0	CHigh	18
03/11/2011 02:43:29	TL_RH	0	CHigh	18
03/11/2011 02:43:29	TL_RH	0	CHigh	18
03/11/2011 07:37:32	TL_LH	0	CHigh	12
03/11/2011 07:37:32	TL_LH	0	CHigh	12
03/11/2011 07:37:32	TL_LH	0	CHigh	12
03/11/2011 07:37:32	TL_LH	0	CHigh	12
03/11/2011 07:37:32	TL_LH	0	CHigh	12
03/11/2011 07:52:49	TL_RH	0	CHigh	18
03/11/2011 07:52:49	TL_RH	0	CHigh	18
03/11/2011 07:52:49	TL_RH	0	CHigh	18
03/11/2011 07:52:49	TL_RH	0	CHigh	18
03/11/2011 07:52:49	TL_RH	0	CHigh	18
03/11/2011 08:18:13	TL_LH	0	CHigh	12
03/11/2011 08:18:13	TL_LH	0	CHigh	12
03/11/2011 08:18:13	TL_LH	0	CHigh	12
03/11/2011 08:18:13	TL_LH	0	CHigh	12
03/11/2011 08:18:13	TL_LH	0	CHigh	12
03/11/2011 08:33:31	TL_RH	0	CHigh	17
03/11/2011 08:33:31	TL_RH	0	CHigh	17
03/11/2011 08:33:31	TL_RH	0	CHigh	17
03/11/2011 08:33:31	TL_RH	0	CHigh	17
03/11/2011 09:17:48	TL_LH	0	CHigh	12
03/11/2011 09:19:13	TL_LH	0	CHigh	11
03/11/2011 09:19:13	TL_LH	0	CHigh	11
03/11/2011 09:19:13	TL_LH	0	CHigh	11
03/11/2011 10:05:03	TL_LH	0	CHigh	11
03/11/2011 10:15:23	NM_LH	0	ABay	1
03/11/2011 10:15:23	NM_LH	0	ABay	1
03/11/2011 10:15:23	NM_LH	0	ABay	1
03/11/2011 10:15:23	NM_LH	0	ABay	1
03/11/2011 10:15:23	NM_LH	0	ABay	1
03/11/2011 10:25:46	NM_RH	0	ABay	4
03/11/2011 10:25:46	NM_RH	0	ABay	4
03/11/2011 10:25:46	NM_RH	0	ABay	4
03/11/2011 10:25:46	NM_RH	0	ABay	4
03/11/2011 10:25:46	NM_RH	0	ABay	4
03/11/2011 11:12:09	NM_LH	0	ABay	1
03/11/2011 11:12:09	NM_LH	0	ABay	1
03/11/2011 11:12:09	NM_LH	0	ABay	1
03/11/2011 11:12:09	NM_LH	0	ABay	1
03/11/2011 11:12:09	NM_LH	0	ABay	1
03/11/2011 11:24:29	NM_RH	0	ABay	3
03/11/2011 11:24:29	NM_RH	0	ABay	3
03/11/2011 11:24:29	NM_RH	0	ABay	3
03/11/2011 11:24:29	NM_RH	0	ABay	3
03/11/2011 11:24:29	NM_RH	0	ABay	3
03/11/2011 11:42:13	Acc_4Dr_LH	0	CLow	1
03/11/2011 11:42:13	Acc_4Dr_LH	0	CLow	1
03/11/2011 11:42:13	Acc_4Dr_LH	0	CLow	1
03/11/2011 11:42:13	Acc_4Dr_LH	0	CLow	1
03/11/2011 11:48:23	Acc_4Dr_LH	2	CHigh	12
03/11/2011 11:48:23	Acc_4Dr_LH	2	CHigh	12
03/11/2011 11:58:31	Acc_4Dr_RH	0	CLow	5
03/11/2011 11:58:31	Acc_4Dr_RH	0	CLow	5
03/11/2011 11:58:31	Acc_4Dr_RH	0	CLow	5
03/11/2011 11:58:31	Acc_4Dr_RH	0	CLow	5
03/11/2011 11:58:31	Acc_4Dr_RH	0	CLow	5
03/11/2011 11:58:31	Acc_4Dr_RH	0	CLow	5
03/11/2011 13:05:52	Acc_4Dr_LH	2	CHigh	12
03/11/2011 13:05:52	Acc_4Dr_LH	2	CHigh	12
03/11/2011 13:05:52	Acc_4Dr_LH	2	CHigh	12
03/11/2011 13:05:52	Acc_4Dr_LH	2	CHigh	12
03/11/2011 13:05:52	Acc_4Dr_LH	2	CHigh	12
03/11/2011 13:05:52	Acc_4Dr_LH	2	CHigh	12
03/11/2011 13:23:30	Acc_4Dr_RH	0	CLow	5
03/11/2011 13:23:30	Acc_4Dr_RH	0	CLow	5
03/11/2011 13:23:30	Acc_4Dr_RH	0	CLow	5
03/11/2011 13:23:30	Acc_4Dr_RH	0	CLow	5
03/11/2011 13:23:30	Acc_4Dr_RH	0	CLow	5
03/11/2011 13:23:30	Acc_4Dr_RH	0	CLow	5
03/11/2011 13:51:29	Acc_4Dr_LH	2	CHigh	12
03/11/2011 13:51:29	Acc_4Dr_LH	2	CHigh	12
03/11/2011 13:54:23	Acc_4Dr_LH	2	CLow	1
03/11/2011 13:54:23	Acc_4Dr_LH	2	CLow	1
03/11/2011 14:04:27	Acc_4Dr_RH	0	CLow	5
03/11/2011 14:04:27	Acc_4Dr_RH	0	CLow	5
03/11/2011 14:04:27	Acc_4Dr_RH	0	CLow	5
03/11/2011 14:04:27	Acc_4Dr_RH	0	CLow	5
03/11/2011 17:29:48	TL_LH	0	CHigh	11
03/11/2011 17:29:48	TL_LH	0	CHigh	11
03/11/2011 17:29:48	TL_LH	0	CHigh	11
03/11/2011 17:29:48	TL_LH	0	CHigh	11
03/11/2011 17:29:48	TL_LH	0	CHigh	11
03/11/2011 17:45:21	TL_RH	0	CHigh	17
03/11/2011 17:45:21	TL_RH	0	CHigh	17
03/11/2011 17:45:21	TL_RH	0	CHigh	17
03/11/2011 17:45:21	TL_RH	0	CHigh	17
03/11/2011 17:45:21	TL_RH	0	CHigh	17
03/11/2011 18:32:14	TL_LH	0	CHigh	11
03/11/2011 18:32:14	TL_LH	0	CHigh	11
03/11/2011 18:32:14	TL_LH	0	CHigh	11
03/11/2011 18:36:36	TL_LH	0	CHigh	10
03/11/2011 18:36:36	TL_LH	0	CHigh	10
03/11/2011 18:47:46	TL_RH	0	CHigh	17
03/11/2011 18:47:46	TL_RH	0	CHigh	17
03/11/2011 18:47:46	TL_RH	0	CHigh	17
03/11/2011 18:50:10	TL_RH	0	CHigh	16
03/11/2011 18:50:10	TL_RH	0	CHigh	16
03/11/2011 19:18:21	TL_LH	0	CHigh	10
03/11/2011 19:18:21	TL_LH	0	CHigh	10
03/11/2011 19:26:59	TL_RH	0	CHigh	16
03/11/2011 19:26:59	TL_RH	0	CHigh	16
03/11/2011 19:50:55	NM_LH	0	ABay	1
03/11/2011 19:50:55	NM_LH	0	ABay	1
03/11/2011 19:50:55	NM_LH	0	ABay	1
03/11/2011 19:50:55	NM_LH	0	ABay	1
03/11/2011 19:50:55	NM_LH	0	ABay	1
03/11/2011 20:03:15	NM_RH	0	ABay	3
03/11/2011 20:03:15	NM_RH	0	ABay	3
03/11/2011 20:03:15	NM_RH	0	ABay	3
03/11/2011 20:03:15	NM_RH	0	ABay	3
03/11/2011 20:03:15	NM_RH	0	ABay	3
03/11/2011 20:48:39	NM_LH	0	ABay	1
03/11/2011 20:48:39	NM_LH	0	ABay	1
