ORDER_ID,LEFT_CONSUMED_QTY,LEFT_DELIVERED_QTY,LEFT_QTY,ORDER_SEQUENCE,ORDER_STATUS,RIGHT_CONSUMED_QTY,RIGHT_DELIVERED_QTY,RIGHT_QTY,VERSION,MODEL,ORDER_MGR
1,-56,24,24,9999,3,0,24,24,22,5,1
2,-42,48,48,9999,3,-42,48,48,188,5,1
3,0,0,36,9999,3,0,0,36,2,5,1
4,-180,48,48,9999,3,-99,36,36,54,5,1
5,0,60,60,9999,3,0,60,60,12,5,3
6,0,60,60,9999,3,0,60,60,13,5,1
7,0,0,70,9999,4,0,0,70,1,5,1
8,0,72,70,9999,5,0,72,70,15,5,3
9,0,24,120,9999,3,0,0,120,4,5,1
10,0,0,120,9999,3,0,0,120,2,1,3
11,156,120,120,9999,5,156,120,120,49,5,1
12,120,120,120,9999,3,108,120,120,42,5,1
13,0,120,120,9999,5,0,120,120,23,5,3
14,0,108,240,9999,1,0,40,240,15,5,3
