ID,carrierNumber,tagID,dieNumber,quantity,updateDate,currentLocation,destination,status,originationLocation,buffer,productionRunNumber,productionRunTimestamp,source
1,1,0,999,0,2011-12-02 16:05:58.584,2012,2003,0,10900,0,999,2011-11-22 20:22:37.225,NOT_SET
3,3,0,66,7,2011-12-02 23:12:50.181,15400,10100,0,506,1,20111223,2011-12-02 20:51:52.600,NOT_SET
4,4,0,67,12,2011-12-02 23:01:22.332,1230,1230,0,502,0,20111224,2011-12-02 23:01:22.332,NOT_SET
5,5,0,66,12,2011-12-02 19:54:55.487,1232,1232,0,502,0,20111223,2011-12-02 19:54:55.487,NOT_SET
7,7,0,999,0,2011-12-02 11:27:42.816,1217,1217,0,2003,0,999,2011-12-02 11:27:42.816,NOT_SET
9,9,0,999,0,2011-11-01 10:06:45.447,2017,2003,3,0,0,999,1970-01-22 07:00:00.000,NOT_SET
10,10,0,999,0,2011-12-02 18:33:35.219,13400,2003,0,1800,0,999,2011-12-02 18:29:12.501,NOT_SET
11,11,0,999,0,2011-12-02 10:17:51.500,1205,1205,0,2003,0,999,2011-12-02 10:17:51.500,NOT_SET
12,12,0,96,11,2011-12-02 15:16:45.117,1229,1229,0,506,0,201111286,2011-12-02 15:16:45.117,NOT_SET
15,15,0,66,12,2011-12-02 20:05:01.328,1232,1232,0,506,0,20111223,2011-12-02 20:05:01.328,NOT_SET
17,17,0,999,0,2011-12-02 00:03:38.948,1226,1226,0,10900,0,999,2011-12-02 00:03:38.948,NOT_SET
18,18,0,7,13,2011-11-21 16:12:41.465,1225,1225,0,506,0,201111214,2011-11-21 16:12:41.465,NOT_SET
19,19,0,2,13,2011-11-29 16:30:41.996,1208,1208,0,502,0,201111294,2011-11-29 16:30:41.996,NOT_SET
20,20,0,66,12,2011-12-02 13:13:58.504,1200,500,0,506,1,20111213,2011-12-01 02:12:59.350,NOT_SET
21,21,0,67,12,2011-12-02 21:55:33.725,1230,1230,0,506,0,20111224,2011-12-02 21:55:33.725,NOT_SET
22,22,0,999,0,2011-11-30 23:17:36.779,5200,5200,0,2003,0,999,2011-11-30 22:59:15.376,NOT_SET
23,23,0,999,0,2011-12-02 11:01:21.633,1217,1217,0,2003,0,999,2011-12-02 11:01:21.633,NOT_SET
24,24,0,999,0,2011-12-01 21:47:34.979,13400,2003,0,10900,0,999,2011-12-01 21:43:17.529,NOT_SET
25,25,0,67,12,2011-12-02 18:19:51.545,2500,500,0,502,0,20111215,2011-12-01 18:02:49.578,NOT_SET
26,26,0,72,12,2011-12-02 23:15:58.582,1223,1223,0,506,0,20111224,2011-12-02 23:15:58.582,NOT_SET
27,27,0,66,12,2011-12-02 16:32:27.709,1231,1231,0,506,0,20111223,2011-12-02 16:32:27.709,NOT_SET
28,28,0,67,12,2011-12-02 23:03:11.680,1230,1230,0,506,0,20111224,2011-12-02 23:03:11.680,NOT_SET
29,29,0,66,12,2011-12-02 13:13:57.793,1200,500,0,502,0,20111213,2011-12-01 02:14:56.048,NOT_SET
30,30,0,67,11,2011-12-02 23:28:22.432,15500,10100,0,506,1,20111224,2011-12-02 21:49:00.920,NOT_SET
32,32,0,999,0,2011-12-01 18:13:52.822,5200,5200,0,2003,0,999,2011-12-01 16:10:53.601,NOT_SET
33,33,0,67,12,2011-12-02 22:37:50.152,1230,1230,0,506,0,20111224,2011-12-02 22:37:50.152,NOT_SET
34,34,0,66,12,2011-12-02 20:19:43.186,1232,1232,0,502,0,20111223,2011-12-02 20:19:43.186,NOT_SET
35,35,0,66,12,2011-12-02 23:13:36.879,15600,10100,0,502,0,20111223,2011-12-02 17:56:22.589,NOT_SET
36,36,0,72,12,2011-12-02 21:47:23.410,1223,1223,0,502,0,20111224,2011-12-02 21:47:23.410,NOT_SET
37,37,0,999,0,2011-12-02 09:52:22.581,1205,1205,0,2003,0,999,2011-12-02 09:52:22.581,NOT_SET
38,38,0,2,13,2011-12-01 13:57:19.407,1224,1224,0,502,0,201111172,2011-12-01 13:57:19.407,NOT_SET
39,39,0,999,0,2011-12-01 00:15:11.247,1221,1221,0,2003,0,999,2011-12-01 00:15:11.247,NOT_SET
40,40,0,72,12,2011-12-01 19:28:58.581,1223,1223,0,506,0,20111215,2011-12-01 19:28:58.581,NOT_SET
41,41,0,96,11,2011-11-28 17:23:29.103,1229,1229,0,502,0,201111286,2011-11-28 17:23:29.103,NOT_SET
42,42,0,999,0,2011-11-30 22:55:35.780,5200,5200,0,2003,0,999,2011-11-30 22:36:59.304,NOT_SET
43,43,0,999,0,2011-12-02 07:36:46.342,1206,1206,0,2003,0,999,2011-12-02 07:36:46.342,NOT_SET
44,44,0,999,0,2011-12-02 09:05:21.835,1213,1213,0,2003,0,999,2011-12-02 09:05:21.835,NOT_SET
45,45,0,8,13,2011-12-01 11:40:32.266,1222,1222,0,502,0,201111301,2011-12-01 11:40:32.266,NOT_SET
46,46,0,999,0,2011-12-02 15:35:05.720,1204,1204,0,502,0,20111215,2011-12-02 15:35:05.720,NOT_SET
47,47,0,999,0,2011-12-01 09:50:12.677,2008,2003,0,1800,0,999,2011-11-22 20:29:53.642,NOT_SET
48,48,0,97,11,2011-11-30 14:30:09.232,706,700,0,502,0,201111223,2011-11-22 14:37:19.204,NOT_SET
50,50,0,66,12,2011-12-02 17:05:36.088,1231,1231,0,506,0,20111223,2011-12-02 17:05:36.088,NOT_SET
51,51,0,66,12,2011-12-02 23:30:33.230,14600,10100,0,502,1,20111223,2011-12-02 18:44:47.065,NOT_SET
52,52,0,999,0,2011-12-02 09:16:54.952,1213,1213,0,506,0,20111221,2011-12-02 09:16:54.952,NOT_SET
